Topic 00		10200.58398597864     Discussions about watching the match
	hom	174.61655778995927
	excit	163.71084701540326
	tomorrow	162.83008711055646
	girl	136.59941297557506
	hav	123.94742316803735
	night	122.68844663988622
	big	118.07609690117562
	gon	112.79935912666201
	che	110.8953512046463
	iow	105.98398791292476
	com	105.68897713201393
	chrisevans	100.97945889691312
	basketbal	91.80322739449639
	favorit	87.59864010637429


Topic 18		8849.507243503105
	best	679.5742764370133
	footbal	341.83869091256963
	yeah	207.70699655308957
	thing	204.31800981162456
	year	185.93494357355468
	say	184.43230395313037
	seen	175.7481300273522
	lif	169.292284000952
	man	159.41248383646894
	moneylynch	128.0942788917619
	hel	125.19243738463248
	guy	124.01494909433762
	com	112.55903052641344
	worst	110.34359378331602
	baby	108.17643377015573
	doe	100.77618319218934
	leagu	100.50874871102619
	sbxlix	98.63337983029801
	hand	96.3749937805238
	said	92.09425570218235


Topic 19		11740.634738035931
	season	798.5925610872933
	year	696.1923964616606
	proud	523.0409711273605
	thank	446.60728174300016
	guy	328.7896328730702
	amaz	304.2604511420451
	end	266.73795294475576
	hard	233.77722343860293
	amp	216.91113637690827
	way	212.5230896526062
	loss	196.4737419136922
	wait	192.44004543374336
	work	186.4197640868042
	dougbaldwinjr	163.36834075175935
	congr	162.6231010999332
	did	149.75429645496078
	job	135.36304037331467
	tough	133.62877971626415
	boy	113.51327726563332
	heart	112.59169346608023


Topic 20		8557.620101063114
	champ	937.5016452133798
	nfc	628.277060403516
	watch	490.1763993438823
	holy	213.5238150161594
	omg	202.63087179447325
	sunday	160.08815683918064
	pack	146.46287064246746
	giv	128.80507206473652
	shit	111.26115702590451
	highlight	97.11349750276482
	believ	95.44765397587851
	year	93.73287812988949
	nflnetwork	93.1660207304565
	world	90.99567509677172
	week	87.89952860686262
	away	85.65386497737845
	fuck	85.45392284596603
	fin	83.77258429059627
	pump	81.73789982244443
	video	77.24133937094264


Topic 21		10093.717388656945
	wait	472.2437592345656
	sunday	467.57387277037674
	week	465.5769168943739
	com	256.14402573332404
	tomorrow	222.39481835378768
	big	205.24156660792278
	work	175.50577390366902
	hom	162.25167633643434
	morn	153.89600458320032
	arizon	148.57064499822525
	saf	141.11844028508412
	seahawkssendoff	121.10688013259713
	plan	120.79567251752604
	get	119.78019615006835
	repet	118.315061764433
	send	115.85970246362662
	luck	112.76518922408728
	start	108.21100520134418
	kid	108.08009308644026
	wish	105.3095268296579


Topic 22		10294.91038304382
	real	542.6809887245013
	did	474.602363310752
	know	319.25334059507577
	right	285.7450883493695
	mak	264.52365211752476
	feel	261.22356008291297
	sur	251.5999476580135
	guy	218.7947545493037
	pretty	217.30748540697186
	won	189.6276605381985
	hap	174.49482554008802
	bennet	147.88399857520102
	want	133.88814618053414
	michael	126.3699446746015
	miss	119.20409305553821
	bad	118.61712619612295
	lol	115.93112087045972
	rid	110.08191697168893
	bik	108.89340079419087
	run	103.12058822238532


Topic 23		9131.717834686395
	flag	312.2989887678622
	man	267.03316327106404
	https	208.02666893886823
	photo	199.71883892502748
	rais	141.84114197907337
	sign	126.50846555272526
	imin	119.93184403140495
	fly	118.08096978227178
	needl	100.95768878131908
	shar	100.88414649884103
	spac	97.79032463219554
	hey	95.4686140192711
	thank	94.26126633038996
	city	82.74968544906194
	morn	82.20877160317114
	bluefriday	79.04498653955172
	washington	78.96691495155167
	amp	78.75231222998369
	spok	71.84939716482053
	cool	69.94117998925996


Topic 24		9098.418425398537
	patriot	918.0305951052571
	new	698.7666448207053
	england	332.8174301882619
	nevsse	279.3837927832385
	che	258.49595002318404
	pat	240.95150020687822
	root	237.61533384809127
	hat	184.86777040165862
	colt	101.0976771784506
	want	90.37496926806192
	way	85.35558489067272
	xlix	83.51129336778524
	think	74.9006528303649
	sbxlix	73.28044297242573
	predict	71.8567432426919
	favorit	67.3731594246077
	say	64.12404599506792
	person	57.510095917215324
	pick	53.423535745019294
	extr	47.541509714801194


Topic 25		7816.230165832363
	hop	406.7408670011644
	beat	381.9925287891256
	https	321.85201628458265
	pack	219.12090637665142
	night	186.06187738750265
	song	176.8376245327956
	sunday	157.08488542989352
	check	147.78992061607676
	new	129.44185969804374
	enjoy	123.47534954923768
